"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3604.csv","Sample2_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3610.csv","Sample3_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3616.csv","Sample4_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3606.csv","Sample5_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3612.csv","Sample6_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3618.csv","Sample7_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS1_1-1-22_1_3624.csv","Sample8_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS1_1-1-22_1_3630.csv","Sample9_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS1_1-1-22_1_3636.csv","Sample10_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS2_1-1-24_1_3642.csv","Sample11_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS2_1-1-24_1_3648.csv","Sample12_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS2_1-1-24_1_3654.csv","Sample13_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS3_1-1-25_1_3658.csv","Sample14_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS3_1-1-25_1_3664.csv","Sample15_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS3_1-1-25_1_3670.csv","Sample16_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D1_1-1-26_1_3660.csv","Sample17_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D1_1-1-26_1_3666.csv","Sample18_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D1_1-1-26_1_3672.csv","Sample19_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D2_1-1-27_1_3676.csv","Sample20_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D2_1-1-27_1_3682.csv","Sample21_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D2_1-1-27_1_3688.csv","Sample22_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D3_1-1-28_1_3678.csv","Sample23_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D3_1-1-28_1_3684.csv","Sample24_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D3_1-1-28_1_3690.csv","Sample25_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D4_1-1-29_1_3694.csv","Sample26_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D4_1-1-29_1_3700.csv","Sample27_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D4_1-1-29_1_3706.csv","Sample28_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D5_1-1-30_1_3696.csv","Sample29_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D5_1-1-30_1_3702.csv","Sample30_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D5_1-1-30_1_3708.csv"
0,723.252597962927,0.2423578,724.259698864,"C_22 H_48 O_24 N_2","C22H48N2O24","C_22 H_47 O_24 N_2",1,22,2.182,1.091,22,48,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2798887.25594623,223521.5,723.252597962927,0.569300794463474,2,6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,TRUE,"C_35 H_40 O_13 N_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2926178,NA,NA,2897657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,724.965180951159,0.0857374,725.972519626,"C_28 H_10 O_22 N_2","C28H10N2O22","C_28 H_9 O_22 N_2",1,28,0.357,0.786,28,10,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2799866.45040879,263237,724.965180951159,0.338647263253775,2,0.25,0.8,25,1,1,0,0,0,0,0,0,0,0,0,0,0,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463,FALSE,NA,NA,NA,NA,NA,NA,NA,3172026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3139390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,729.147720135404,0.3255172,730.155234245,"C_25 H_34 O_23 N_2","C25H34N2O23","C_25 H_33 O_23 N_2",1,25,1.36,0.92,25,34,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2801827.83287815,302924,729.147720135404,0.307326982890294,3,0,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438,TRUE,"C_27 H_39 O_19 S_1 P_1",2968592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3339327,NA,3453804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,729.224704826974,0.0636811,730.232027761,"C_32 H_42 O_19","C32H42O19","C_32 H_41 O_19",2,32,1.312,0.594,32,42,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2801827.83287815,294268.956521739,729.224710592142,0.246254505543846,23,0,0.11,12,0,0,0,1,1,0,0,0,0,0,0,0,0,1.7,548.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306.439423176668,NA,NA,NA,NA,516,TRUE,"C_45 H_34 O_8 N_2",NA,NA,NA,NA,NA,NA,2910335,NA,3684649,3456284,3256415,3257003,6792257,7449238,6763383,6635784,6018783,6189734,6895551,5953208,6179551,2814887,3255741,3617218,3079006,3110617,2808791,4518919,4965731,5635460
0,729.492190226545,0.0189158,730.499480476,"C_47 H_70 O_4 S_1","C47H70O4S","C_47 H_69 O_4 S_1",1,47,1.489,0.085,47,70,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2801827.83287815,270526,729.492190226545,0.16531515785509,3,0.19,0.23,13,0,0,0,1,0,1,0,0,0,0,0,0,0,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,TRUE,"C_47 H_70 O_4 S_1",4863015,3823843,5446012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,730.228064163932,0.057437,731.235382596,"C_31 H_42 O_19 C13_1","C32H42O19","C_31 H_41 O_19 C13_1",2,32,1.312,0.594,31,42,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802318.79785108,289648,730.228064163932,0.127433136294199,2,0,0.11,12,0,0,0,1,1,0,0,0,0,0,0,0,0,1.23,548.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306.439423176668,NA,NA,NA,NA,516,TRUE,"C_44 H_34 O_8 N_2 C13_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3664689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3212823,NA
0,731.079962570004,0.490253,732.086880094,"C_24 H_28 O_26","C24H28O26","C_24 H_27 O_26",1,24,1.167,1.083,24,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802810.00909003,314891.5,731.079962570004,0.334170549589728,2,7.5,0,11,0,0,0,1,1,0,0,0,0,0,0,0,0,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,TRUE,"C_25 H_32 O_21 S_2",NA,NA,3402326,2952618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,731.190342832904,0.3352742,732.197373777,"C_28 H_36 O_19 N_4","C28H36N4O19","C_28 H_35 O_19 N_4",1,28,1.286,0.679,28,36,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802810.00909003,278820.333333333,731.190342832904,0.422171375556055,6,0,0,13,0,0,0,1,1,0,0,0,0,0,0,0,0,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469,TRUE,"C_28 H_44 O_18 S_2",3220630,2877920,2863717,NA,NA,NA,NA,NA,NA,3075627,NA,NA,NA,2827205,2931861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,733.25796839369,0.789257,734.264665301,"C_33 H_42 O_15 N_4","C33H42N4O15","C_33 H_41 O_15 N_4",1,33,1.273,0.455,33,42,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2803793.16675473,250342.5,733.25796839369,0.170398104922656,2,0,0.16,15,0,0,0,1,0,1,0,0,0,0,0,0,0,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526,FALSE,NA,2964763,NA,NA,NA,NA,NA,NA,NA,3328644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,735.009430958784,0.4623862,736.017047714,"C_47 H_13 O_6 S_1 P_1","C47H13O6PS","C_47 H_12 O_6 S_1 P_1",2,47,0.277,0.128,47,13,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2804777.29667877,278974.133333333,735.009434788354,0.130288379827254,30,0.87,0.88,42,1,0,1,0,0,0,0,0,0,0,0,0,0,4.38,-369.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.606530504758,NA,NA,NA,NA,620,TRUE,"C_47 H_13 O_6 S_1 P_1",14701963,12946458,12385393,16613389,13976771,16745880,10730222,12061560,10910496,12947514,12862044,12105069,4162818,4124178,4507317,16777938,16775605,16167969,10975356,11500054,9637133,12981533,12468241,13735086,16960650,16042333,16764320,8648452,8931696,8602081
-1,736.012793157927,0.4517652,737.020402549,"C_46 H_13 O_6 S_1 P_1 C13_1","C47H13O6PS","C_46 H_12 O_6 S_1 P_1 C13_1",2,47,0.277,0.128,46,13,6,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2805269.72315683,289029.791666667,736.012798728497,0.238416566738637,24,0.87,0.88,42,1,0,1,0,0,0,0,0,0,0,0,0,0,1.59,-369.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.606530504758,NA,NA,NA,NA,620,TRUE,"C_46 H_13 O_6 S_1 P_1 C13_1",3487178,4148400,NA,6414505,5563700,4867644,3418972,4254760,4070267,4870341,3449526,NA,NA,NA,NA,5112611,4684342,4396133,3340448,4729517,3386734,4658526,4227194,4019502,5999805,5761487,4869616,4310922,NA,2867875
0,737.092145080217,0.8660879,738.098782253,"C_24 H_26 O_23 N_4","C24H26N4O23","C_24 H_25 O_23 N_4",1,24,1.083,0.958,24,26,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2805762.3890005,328412,737.092145080217,0.239542049754955,2,4.33,0,14,0,0,0,1,1,0,0,0,0,0,0,0,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3040675,NA,NA,3132661,NA,NA,NA,NA,NA
