"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2101810_LSt_MA_FTMS_PB_4_01_1-2-13_1_21358.csv","Sample2_masslistsMGC2101810_LSt_MA_FTMS_PB_4_02_1-2-13_1_21368.csv","Sample3_masslistsMGC2101810_LSt_MA_FTMS_PB_4_03_1-2-13_1_21378.csv","Sample4_masslistsMGC2101826_LSt_MA_FTMS_NSW_B1_01_1-2-35_1_21574.csv","Sample5_masslistsMGC2101826_LSt_MA_FTMS_NSW_B1_02_1-2-35_1_21582.csv","Sample6_masslistsMGC2101826_LSt_MA_FTMS_NSW_B1_03_1-2-35_1_21590.csv","Sample7_masslistsMGC2101826_LSt_MA_FTMS_NSW_B2_01_1-2-33_1_21544.csv","Sample8_masslistsMGC2101826_LSt_MA_FTMS_NSW_B2_02_1-2-33_1_21554.csv","Sample9_masslistsMGC2101826_LSt_MA_FTMS_NSW_B2_03_1-2-33_1_21564.csv","Sample10_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B1_01_1-2-32_1_21542.csv","Sample11_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B1_02_1-2-32_1_21552.csv","Sample12_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B1_03_1-2-32_1_21562.csv","Sample13_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B2_01_1-2-37_1_21600.csv","Sample14_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B2_02_1-2-37_1_21608.csv","Sample15_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B2_03_1-2-37_1_21616.csv"
0,288.124154406421,0.0807868,289.13140748,"C_16 H_19 O_4 N_1","C16H19NO4","C_16 H_18 O_4 N_1",10,16,1.188,0.25,16,19,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391086.87370517,718814.909090909,288.124162423913,0.075909739408865,11,0.27,0.38,8,0,0,0,1,0,1,0,0,0,0,0,0,0,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,FALSE,NA,NA,NA,NA,5598125,4597928,6139946,5524815,4132013,4487121,7024211,7823979,7266320,7492479,8382070,NA
-1,288.132224382108,0.0432214,289.139513311,"C_16 H_20 O_4 C13_1","C17H20O4","C_16 H_19 O_4 C13_1",20,17,1.176,0.235,16,20,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391086.87370517,687885.428571429,288.132232580918,0.177665584517296,7,0.31,0.4,8,0,0,0,1,0,1,0,0,0,0,0,0,0,1.22,-50.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.941285042793,NA,NA,NA,NA,129,FALSE,NA,NA,NA,NA,NA,4241580,3532845,4070738,NA,NA,NA,3616366,3743764,4793219,4933243,NA
0,288.135337865806,0.0918993,289.142640869,"C_15 H_19 O_3 N_3","C15H19N3O3","C_15 H_18 O_3 N_3",1,15,1.267,0.2,15,19,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391086.87370517,650093,288.135343878687,0.0620288180372207,2,0.22,0.33,8,0,0,0,1,0,1,0,0,0,0,0,0,0,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3572914,NA,NA,NA,3612693,NA,NA,NA
0,288.145270475326,0.0352375,289.152536718,"C_13 H_23 O_6 N_1","C13H23NO6","C_13 H_22 O_6 N_1",23,13,1.769,0.462,13,23,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391086.87370517,736419.6,288.145277655683,0.136927624865791,10,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,FALSE,NA,NA,NA,3848860,4942775,NA,3762227,5741912,4709558,5601242,NA,3936884,5353498,5301129,5969540,NA
0,288.160472059709,0.1534403,289.167792861,"C_17 H_23 O_3 N_1","C17H23NO3","C_17 H_22 O_3 N_1",11,17,1.353,0.176,17,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391086.87370517,639792.333333333,288.160479863134,0.116621785125622,3,0.23,0.31,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3493475,NA,3500065,NA,5009038,NA
0,288.181692576105,0.1622088,289.188922099,"C_14 H_27 O_5 N_1","C14H27NO5","C_14 H_26 O_5 N_1",12,14,1.929,0.357,14,27,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391086.87370517,747319.6,288.181698966602,0.108226194876262,5,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,FALSE,NA,NA,NA,NA,NA,NA,NA,3718504,3693766,3833834,3448429,NA,NA,NA,5748380,NA
0,288.196889028062,0.0441972,289.204178242,"C_18 H_27 O_2 N_1","C18H27NO2","C_18 H_26 O_2 N_1",1,18,1.5,0.111,18,27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391086.87370517,719595.727272727,288.196893978607,0.0567454401908955,11,0.2,0.25,6,0,0,0,0,0,0,1,0,1,1,0,0,0,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606,FALSE,NA,4186899,6287314,5444270,NA,NA,NA,8449391,6483148,7071729,3853940,3404428,4106291,3992480,7874214,NA
0,289.035379720827,0.013167,290.042652333,"C_14 H_10 O_7","C14H10O7","C_14 H_9 O_7",26,14,0.714,0.5,14,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391743.58966233,704672.5,289.035387269132,0.042227834643027,6,0.43,0.62,10,1,0,1,0,0,0,0,0,0,0,0,0,0,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,FALSE,NA,NA,NA,NA,NA,NA,3455429,NA,NA,NA,7163895,5518347,7184842,5776661,7370955,NA
0,289.038757714926,0.0338326,290.046024333,"C_11 H_14 O_7 S_1","C11H14O7S","C_11 H_13 O_7 S_1",11,11,1.273,0.636,11,14,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391743.58966233,737078.5,289.038765816212,0.0571880428998011,6,0,0.08,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,FALSE,NA,NA,NA,NA,NA,4438611,NA,NA,NA,NA,4902905,4379661,5951947,4363543,4491470,NA
0,289.046562179854,0.1624216,290.053885722,"C_13 H_10 O_6 N_2","C13H10N2O6","C_13 H_9 O_6 N_2",2,13,0.769,0.462,13,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391743.58966233,790668.5,289.046571323114,0.0122258825160999,2,0.4,0.62,10,1,0,1,0,0,0,0,0,0,0,0,0,0,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3806224,4628943,NA,NA,NA
