"mz","MDL_3.7","ResPow","refe","m1","SE","Sample1_masslistsMGC2101811_LSt_MA_FTMS_PB_5_01_1-2-31_1_21540.csv","Sample2_masslistsMGC2101811_LSt_MA_FTMS_PB_5_02_1-2-31_1_21550.csv","Sample3_masslistsMGC2101811_LSt_MA_FTMS_PB_5_03_1-2-31_1_21560.csv","Sample4_masslistsMGC2101819_LSt_MA_FTMS_STD10_A1_01_1-2-11_1_21332.csv","Sample5_masslistsMGC2101819_LSt_MA_FTMS_STD10_A1_02_1-2-11_1_21342.csv","Sample6_masslistsMGC2101819_LSt_MA_FTMS_STD10_A1_03_1-2-11_1_21350.csv","Sample7_masslistsMGC2101819_LSt_MA_FTMS_STD10_A2_01_1-2-2_1_21252.csv","Sample8_masslistsMGC2101819_LSt_MA_FTMS_STD10_A2_02_1-2-2_1_21260.csv","Sample9_masslistsMGC2101819_LSt_MA_FTMS_STD10_A2_03_1-2-2_1_21270.csv","Sample10_masslistsMGC2101820_LSt_MA_FTMS_STD1_A1_01_1-2-15_1_21362.csv","Sample11_masslistsMGC2101820_LSt_MA_FTMS_STD1_A1_02_1-2-15_1_21372.csv","Sample12_masslistsMGC2101820_LSt_MA_FTMS_STD1_A1_03_1-2-15_1_21382.csv","Sample13_masslistsMGC2101820_LSt_MA_FTMS_STD1_A2_01_1-2-17_1_21390.csv","Sample14_masslistsMGC2101820_LSt_MA_FTMS_STD1_A2_02_1-2-17_1_21400.csv","Sample15_masslistsMGC2101820_LSt_MA_FTMS_STD1_A2_03_1-2-17_1_21410.csv","Sample16_masslistsMGC2101822_LSt_MA_FTMS_STD01_A1_01_1-2-4_1_21276.csv","Sample17_masslistsMGC2101822_LSt_MA_FTMS_STD01_A1_02_1-2-4_1_21286.csv","Sample18_masslistsMGC2101822_LSt_MA_FTMS_STD01_A1_03_1-2-4_1_21294.csv","Sample19_masslistsMGC2101822_LSt_MA_FTMS_STD01_A2_01_1-2-10_1_21330.csv","Sample20_masslistsMGC2101822_LSt_MA_FTMS_STD01_A2_02_1-2-10_1_21340.csv","Sample21_masslistsMGC2101822_LSt_MA_FTMS_STD01_A2_03_1-2-10_1_21348.csv"
472.327884213348,3566341.80645528,428513.428571429,NA,472.327971939993,0.234361383404503,NA,NA,NA,NA,NA,NA,NA,NA,NA,6040890,4181873,5183310,NA,NA,4067977,NA,NA,NA,6421480,7333394,7496239
472.681890125872,3567166.90976248,448760.375,NA,472.681969022721,0.21271863340207,NA,NA,NA,NA,NA,NA,3698166,NA,4322272,6696340,5672883,5457819,5287675,5990580,5427921,NA,NA,NA,NA,NA,NA
472.775237542607,3567166.90976248,417534.785714286,NA,472.775316645829,0.165187815669793,NA,NA,NA,11842848,12450837,11190840,NA,4644134,3757046,7073195,7032772,5932976,11906829,9611462,11842276,NA,NA,NA,7052362,7415433,8225459
473.015709816182,3567166.90976248,389050,NA,473.0157337,NA,NA,3963798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
473.139544751842,3567166.90976248,370145,473.13944666573,473.1397128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3642522,NA,NA
473.159068295032,3567166.90976248,387642,NA,473.1590874,NA,4313112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
473.169650358113,3567166.90976248,436048.8,NA,473.169669529542,0.262402576666744,5840923,5032893,NA,6305155,7306363,5407391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
473.204140251456,3567166.90976248,397494.333333333,NA,473.204172692086,0.0158102757931815,4464677,5635013,5539785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
473.284861066033,3567166.90976248,425618.666666667,NA,473.284997074588,0.119428866456111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6282426,7563024,6316874
473.883668611836,3567991.56887138,424458.428571429,NA,473.883775746866,0.204921695370092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5918865,5257378,4829159,5122467,3867589,NA,NA,NA,NA,4310958,4899836
474.097971548747,3567991.56887138,389968,NA,474.0980875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4503527,NA
474.101916622992,3567991.56887138,364471,NA,474.10192,NA,NA,NA,NA,3737197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474.116559003712,3567991.56887138,458950.916666667,NA,474.116664436456,0.169047895396683,NA,NA,NA,NA,NA,NA,3606351,3804732,3962157,7196417,6369467,7489748,5836821,5179857,6009844,NA,NA,NA,13303153,11945964,13206592
474.139679401618,3567991.56887138,423579.888888889,NA,474.139740490589,0.115478924384966,12677420,12004525,12908728,10761846,12205429,10486684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7740791,8357874,5473351
474.150908278556,3567991.56887138,408274.5,NA,474.150937244766,0.0249911176106281,13005103,14052528,12433594,4433529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474.19792434216,3567991.56887138,441137.2,NA,474.197950958046,0.0972706761862769,6803772,6196412,8206535,5179013,3771780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474.216446260383,3567991.56887138,431025.666666667,NA,474.216510883242,0.140427319658159,14053697,12397760,12073163,5949066,5528969,5284784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7191944,8472582,5801054
474.244139349294,3567991.56887138,455846.666666667,NA,474.244173587203,0.114019200159933,5476681,6204615,5691602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474.260851165288,3567991.56887138,449181.666666667,NA,474.260940494972,0.159443476512304,NA,NA,NA,5232277,3734932,3937211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6290833,6014994,7586923
