"mz","MDL_3.7","ResPow","refe","m1","SE","Sample1_masslistsMGC2101810_LSt_MA_FTMS_PB_4_01_1-2-13_1_21358.csv","Sample2_masslistsMGC2101810_LSt_MA_FTMS_PB_4_02_1-2-13_1_21368.csv","Sample3_masslistsMGC2101810_LSt_MA_FTMS_PB_4_03_1-2-13_1_21378.csv","Sample4_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_01_1-2-6_1_21280.csv","Sample5_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_01_1-2-8_1_21306.csv","Sample6_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_02_1-2-6_1_21290.csv","Sample7_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_02_1-2-8_1_21314.csv","Sample8_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_03_1-2-6_1_21298.csv","Sample9_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_03_1-2-8_1_21324.csv"
122.032860070966,3403274.75985869,1612338.66666667,122.03285764205,122.032863531364,0.0348164903999545,10276858,6688952,5787535,418334816,NA,432652512,NA,405751136,NA
122.033714336782,3403274.75985869,1641309.33333333,NA,122.033718075831,0.038943287908274,NA,NA,NA,3701339,NA,5193444,NA,6082918,NA
122.035779728788,3403274.75985869,1697756,NA,122.035783540016,0.0279622317819313,NA,NA,NA,5532763,NA,5523684,NA,4700005,NA
122.9007824,3403825.34315277,1303883,NA,122.9007824,NA,NA,NA,NA,NA,4157858,NA,NA,NA,NA
122.901693820014,3403825.34315277,1687138.33333333,NA,122.901693820014,0.0382448316906505,NA,NA,NA,NA,6412450,NA,6496382,NA,5026520
122.932363870182,3403825.34315277,1486714,NA,122.9323658,NA,3499217,NA,NA,NA,NA,NA,NA,NA,NA
123.033749186591,3403825.34315277,1559485,NA,123.033753001657,0.00692847236785493,NA,NA,NA,20121650,NA,22505656,NA,22377788,NA
123.036214512469,3403825.34315277,1621924.66666667,NA,123.036218330629,0.00656077687402184,NA,NA,NA,12877874,NA,13037752,NA,13659451,NA
123.081537132174,3403825.34315277,1607208,NA,123.081539991581,0.0244649318231525,3701195,NA,5128033,4525104,NA,5119670,NA,NA,NA
124.113169836679,3404376.01552045,1529891,NA,124.1131709,NA,NA,NA,3780918,NA,NA,NA,NA,NA,NA
124.8987409,3404926.77697616,1662966,NA,124.8987409,NA,NA,NA,NA,NA,NA,NA,NA,NA,3483784
125.024429876485,3404926.77697616,1601801.5,125.02441742661,125.024433453153,0.0697763634585584,NA,NA,NA,NA,NA,3435111,NA,4103406,NA
125.060798708654,3404926.77697616,1495993.5,125.06080280705,125.060802121618,0.0612807867439949,4100985,NA,NA,4019941,NA,4301926,NA,4325613,NA
125.097038278037,3404926.77697616,1844409,NA,125.097039009775,0.0464164718860834,6852472,7014970,8102672,NA,NA,NA,NA,NA,3558529
125.097186444884,3404926.77697616,1521588.22222222,NA,125.097188213882,0.0144695909801269,117195640,123257400,129991440,92334048,35488844,92217448,36013100,91817192,38315648
126.100539364725,3405477.6275343,1590582.85714286,NA,126.100541389593,0.00899185134059611,10217299,10852886,11303660,7258050,NA,7014464,4179979,6819017,NA
126.7619927,3406028.56720928,1307679,NA,126.7619927,NA,NA,NA,NA,NA,3411221,NA,NA,NA,NA
127.040068946049,3406028.56720928,1622466,127.04006742661,127.0400686,NA,NA,3925496,NA,NA,NA,NA,NA,NA,NA
127.0764564246,3406028.56720928,1587996.57142857,127.07645280705,127.076458699526,0.0397602331006469,3892018,3586038,4411596,6581156,NA,5478432,NA,5138602,3640894
127.112841229969,3406028.56720928,1644537.5,NA,127.112843642281,0.0292804867136828,4922161,4382197,4058827,4054947,NA,3755551,NA,4420777,NA
128.108084304797,3406579.59601553,1593820.875,NA,128.108086339313,0.0229781633850393,10063634,9414104,9617069,8921991,NA,10931201,3891153,9344140,4170272
128.8921551,3407130.71396747,1759948,NA,128.8921551,NA,NA,NA,NA,NA,3638746,NA,NA,NA,NA
128.949722392126,3407130.71396747,1571551.33333333,NA,128.949723289517,0.00306913853461269,6827772,8080834,6166168,NA,NA,NA,NA,NA,NA
129.055722902028,3407130.71396747,1523030,129.05571742661,129.055726487644,0.0108275566848401,3502329,NA,NA,4272496,NA,5063144,NA,4321909,NA
129.0921014608,3407130.71396747,1676897.83333333,129.09210280705,129.092103983336,0.0394534317425819,4590328,4349375,5832340,5916527,NA,4503016,NA,5286004,NA
129.328140444854,3407130.71396747,1324229,NA,129.3281425,NA,3475954,NA,NA,NA,NA,NA,NA,NA,NA
129.9674632,3407681.9210795,1032242,NA,129.9674632,NA,NA,NA,NA,NA,NA,NA,3483304,NA,NA
130.743238816791,3408233.21736607,1454530,NA,130.7432409,NA,3415252,NA,NA,NA,NA,NA,NA,NA,NA
130.889201595302,3408233.21736607,1658917.5,NA,130.889201595302,0.0372760833011556,NA,NA,NA,NA,3542962,NA,NA,NA,3774946
130.944019334403,3408233.21736607,1835958.66666667,NA,130.944020286927,0.00763752953228147,8659665,8610201,7299694,NA,NA,NA,NA,NA,NA
130.944188485379,3408233.21736607,1458365.55555556,NA,130.94418991074,0.012710695356123,134185680,129614232,131105392,16445259,14793649,16641985,15268759,16249935,15218145
131.4063291036,3408233.21736607,1313896,NA,131.4063312,NA,3890377,NA,NA,NA,NA,NA,NA,NA,NA
131.94432395783,3408784.6028416,1421525.25,NA,131.944325470856,0.072654135027752,15426242,14367114,17093216,3763774,NA,NA,NA,NA,NA
132.867849907809,3409336.0775205,1433232.5,NA,132.867853601251,0.0766513140092484,NA,NA,NA,25560884,NA,26255272,3775360,25134136,NA
132.900187858109,3409336.0775205,1520275.66666667,NA,132.900187858109,0.0253198746397998,NA,NA,NA,NA,6444953,NA,5325696,NA,4210121
132.923450784066,3409336.0775205,1658229.66666667,NA,132.923451741828,0.01120295602592,4654776,4902273,3892821,NA,NA,NA,NA,NA,NA
132.94255864932,3409336.0775205,1649564,NA,132.942559645431,0.0477101837634298,3909816,3643264,4675157,NA,NA,NA,NA,NA,NA
133.1863551,3409336.0775205,1356802,NA,133.1863551,NA,NA,NA,NA,NA,3414935,NA,NA,NA,NA
133.346840724298,3409336.0775205,1471129,NA,133.3468441,NA,NA,NA,NA,NA,NA,NA,NA,3409973,NA
134.86489494082,3410439.29454621,1438806,NA,134.864899181993,0.00450483430401832,NA,NA,NA,18712366,NA,18272162,NA,17361970,NA
134.866047446442,3410439.29454621,1464880,NA,134.866051686541,0.00556303450728121,NA,NA,NA,11231023,NA,11825058,NA,10691634,NA
134.894478270593,3410439.29454621,1560013.33333333,NA,134.894478270593,0.0108022672448927,NA,NA,NA,NA,8778643,NA,8719226,NA,7605699
134.894651669053,3410439.29454621,1419942.88888889,NA,134.894652938179,0.0188718760400646,7538353,7151995,6351439,23881518,121521040,22802338,115000184,22864946,107201984
134.91287536919,3410439.29454621,1585366.75,NA,134.912875858244,0.0503093738336453,3465905,NA,NA,NA,3592083,NA,4804475,NA,5284291
135.045155900564,3410439.29454621,1543445.2,135.04515280705,135.045158719877,0.02428981741073,NA,3983739,3635792,4978479,NA,5492643,NA,3621938,NA
135.89479286054,3410991.03692187,1363114.25,NA,135.894793393903,0.0376654907241806,NA,NA,NA,NA,12729239,NA,13704062,3851318,12041671
136.863093273068,3411542.86855867,1502455.33333333,NA,136.863097562917,0.0376710151513694,NA,NA,NA,7015228,NA,6834096,NA,7570495,NA
136.877508597086,3411542.86855867,1419705,NA,136.877509955249,0.0200508234636693,16433856,16191880,15395421,8286012,27550624,7288753,27194248,9487423,26170832
136.8915228,3411542.86855867,1755256,NA,136.8915228,NA,NA,NA,NA,NA,NA,NA,3625864,NA,NA
136.891698564255,3411542.86855867,1451114.16666667,NA,136.891699915734,0.0224325843992016,NA,NA,NA,8005436,38781856,6961073,36529032,8707135,36095440
136.909924645385,3411542.86855867,1565987.33333333,NA,136.909924645385,0.0560291071623515,NA,NA,NA,NA,4461473,NA,4697992,NA,5242321
137.024412539579,3411542.86855867,1460286.5,137.02441742661,137.024415486962,0.0609633635227542,4150978,3662218,4157023,7831358,NA,7776178,NA,7930945,NA
137.060800012537,3411542.86855867,1339884,137.06080280705,137.0608035,NA,NA,NA,NA,NA,NA,NA,NA,3791938,NA
137.09718699381,3411542.86855867,1523925.66666667,NA,137.09718802027,0.0382305818921196,4895427,4705675,5277280,NA,NA,NA,NA,NA,NA
137.891846411445,3412094.78947103,1441787,NA,137.891846411445,0.0533310032548982,NA,NA,NA,NA,4945328,NA,5293974,NA,NA
138.01965976152,3412094.78947103,1590720,NA,138.0196643,NA,NA,NA,NA,NA,NA,3692995,NA,NA,NA
138.874557342288,3412646.79967339,1447123.57142857,NA,138.874558208587,0.0340433279436157,6090470,6637997,5310082,NA,9788356,3584981,9759657,NA,9227765
138.875463211911,3412646.79967339,1402615.33333333,NA,138.875464616209,0.0158108519436151,15438566,18080172,17883778,9983838,27833284,8835029,26928042,9313379,29353460
139.040069797835,3412646.79967339,1502997,139.04006742661,139.040074044437,0.0602143229495787,NA,NA,NA,3764066,NA,NA,NA,4524135,NA
139.076455583812,3412646.79967339,1407988.4,139.07645280705,139.076458970936,0.0243746146228275,4474091,NA,5180039,5396323,NA,6924251,NA,6036584,NA
139.112838741631,3412646.79967339,1463760,NA,139.112840754687,0.0146821488326408,15102700,15954355,16376456,13178724,5118922,10952667,3777455,11965544,4888059
139.447511941524,3412646.79967339,1273547,NA,139.4475142,NA,3565301,NA,NA,NA,NA,NA,NA,NA,NA
140.108090528036,3413198.89918021,1461651,NA,140.1080928,NA,4767497,NA,NA,NA,NA,NA,NA,NA,NA
140.2396964,3413198.89918021,1222539,NA,140.2396964,NA,NA,NA,NA,NA,3474410,NA,NA,NA,NA
140.872513371976,3413751.08800593,1419179.25,NA,140.87251459143,0.0288775024678121,6002469,5660138,5172927,4129688,9583615,NA,9716706,3835038,9823793
141.092101573025,3413751.08800593,1356160.33333333,141.09210280705,141.092104390898,0.0255064763679163,7251757,5847538,6088392,7408544,NA,6588444,NA,7041190,NA
141.128496100653,3413751.08800593,1466697.5,NA,141.128497050183,0.0139172506311132,3528495,3580403,NA,NA,NA,NA,NA,NA,NA
142.087355343895,3414303.366165,1436578.85714286,NA,142.087357677766,0.0549017956377139,4835160,5082652,4542193,4419527,3808303,3732037,NA,3768526,NA
142.123739171175,3414303.366165,1387409,NA,142.123741134864,0.0252409213898905,30565210,32711196,33014514,18204616,7765041,16412743,7408657,16692431,6993508
142.924933639286,3414855.73367188,1418622.66666667,NA,142.924938160753,0.0334842753645365,NA,NA,NA,6613997,NA,7039086,NA,6737141,NA
143.071369325689,3414855.73367188,1438992.4,143.07136742661,143.071372483992,0.0364034810907999,3888009,5027403,NA,6171636,NA,4707446,NA,4675836,NA
143.107757027153,3414855.73367188,1463494,143.10775280705,143.107758969283,0.0397746885921034,15991691,14856781,15029027,7784438,3926111,7268472,4085822,7527678,3478163
143.127092489869,3414855.73367188,1730188,NA,143.1270921,NA,NA,3784270,NA,NA,NA,NA,NA,NA,NA
144.066639384735,3415408.19054102,1040460,NA,144.0666431,NA,NA,NA,NA,NA,NA,NA,NA,4299569,NA
144.869698682645,3415960.73678688,1309814,NA,144.869698682645,0.0131515141358364,NA,NA,NA,NA,25547970,NA,26825886,NA,26756858
145.050632485379,3415960.73678688,1382330.66666667,145.05063204617,145.050637107814,0.044663925000707,NA,NA,NA,5108835,NA,4355308,NA,4274541,NA
145.065881901573,3415960.73678688,1512950.66666667,NA,145.065886503184,0.00431255161423431,NA,NA,NA,5466212,NA,5256429,NA,5471598,NA
145.087015079797,3415960.73678688,1311689.83333333,145.08701742661,145.087017884004,0.0323896669960842,5898245,6595267,6449049,6362213,NA,5111023,NA,6264176,NA
146.061137647963,3416513.37242391,1339496.66666667,NA,146.061142300675,0.0122615709748594,NA,NA,NA,16582822,NA,15499572,NA,15033778,NA
146.082062837055,3416513.37242391,1692779.33333333,NA,146.082062837055,0.0204258164747303,NA,NA,NA,NA,6063380,NA,6388972,NA,6940493
146.082265128128,3416513.37242391,1296352.33333333,NA,146.082265128128,0.0105236160798699,NA,NA,NA,NA,99779864,NA,100910312,NA,102025040
146.308522008301,3416513.37242391,1370209,NA,146.3085273,NA,NA,NA,NA,3536055,NA,NA,NA,NA,NA
146.86674718224,3417066.09746658,1310575.66666667,NA,146.86674718224,0.0153917136867609,NA,NA,NA,NA,25339214,NA,26715428,NA,26363786
147.0752089,3417066.09746658,1195662,NA,147.0752089,NA,NA,NA,NA,NA,NA,NA,3480884,NA,NA
147.081543177963,3417066.09746658,1247404,NA,147.0815485,NA,NA,NA,NA,3705073,NA,NA,NA,NA,NA
