"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A1_1-1-14_1_3552.csv","Sample2_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A1_1-1-14_1_3560.csv","Sample3_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A1_1-1-14_1_3568.csv","Sample4_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A2_1-1-15_1_3554.csv","Sample5_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A2_1-1-15_1_3562.csv","Sample6_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A2_1-1-15_1_3570.csv","Sample7_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-1_1-1-16_1_3556.csv","Sample8_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-1_1-1-16_1_3564.csv","Sample9_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-1_1-1-16_1_3572.csv","Sample10_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-2_1-1-17_1_3576.csv","Sample11_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-2_1-1-17_1_3582.csv","Sample12_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-2_1-1-17_1_3588.csv","Sample13_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-3_1-1-18_1_3578.csv","Sample14_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-3_1-1-18_1_3584.csv","Sample15_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-3_1-1-18_1_3590.csv"
-1,254.220664219837,0.025773,255.227934073,"C_15 H_30 O_2 C13_1","C16H30O2","C_15 H_29 O_2 C13_1",7,16,1.875,0.125,15,30,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667532.57041456,809518.6,254.220664670836,0.0681845406280521,10,0,0.07,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2.81,65.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.686563065402,NA,NA,NA,61,FALSE,NA,NA,3555098,NA,3668266,NA,NA,7580171,6096714,5446711,3020513,NA,3436771,14633370,13754422,13746158
0,255.196537987277,0.1149007,256.203843857,"C_15 H_28 O_3","C15H28O3","C_15 H_27 O_3",5,15,1.867,0.2,15,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667760.25981847,793861.5,255.196537987277,0.172128085931327,4,0,0.04,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,FALSE,NA,2865047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3650434,3504650,3746246
-2,255.232953790862,0.0038401,256.240229238,"C_16 H_32 O_2","C16H32O2","C_16 H_31 O_2",21,16,2,0.125,16,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667760.25981847,749840.933333333,255.232954134363,0.0119653552983604,15,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,86.18,-2.48,75.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6658539386969,170.887916399906,NA,NA,3,FALSE,NA,212329392,187162880,172746464,207481616,196995008,178251152,257027072,248768832,236318256,208136400,223866752,217180896,300673952,310895136,290972128
0,256.119056667891,0.0427805,257.126322099,"C_12 H_19 O_5 N_1","C12H19NO5","C_12 H_18 O_5 N_1",1,12,1.583,0.417,12,19,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667987.99296781,793413.666666667,256.119058429006,0.127706209960726,3,0,0.06,4,0,0,0,0,0,0,1,0,1,1,0,0,0,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,FALSE,NA,NA,NA,NA,NA,NA,NA,4220351,4107009,3196915,NA,NA,NA,NA,NA,NA
0,256.155447242475,0.0629718,257.16270748,"C_13 H_23 O_4 N_1","C13H23NO4","C_13 H_22 O_4 N_1",14,13,1.769,0.308,13,23,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667987.99296781,861446.727272727,256.155447846334,0.0979645357867925,11,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,FALSE,NA,3478884,NA,3745949,2770124,3279230,3219280,6311377,7060243,6639621,3701397,2883909,4136095,NA,NA,NA
0,256.191818364999,0.0075272,257.199092861,"C_14 H_27 O_3 N_1","C14H27NO3","C_14 H_26 O_3 N_1",23,14,1.929,0.214,14,27,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667987.99296781,786455.454545455,256.19181889389,0.052532382544154,11,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,FALSE,NA,3863925,4014799,3975343,5111006,5728655,5642081,6557155,6236965,5099543,3971751,3406166,NA,NA,NA,NA
-1,256.236310013041,0.0092208,257.243584073,"C_15 H_32 O_2 C13_1","C16H32O2","C_15 H_31 O_2 C13_1",21,16,2,0.125,15,32,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667987.99296781,749120.733333333,256.23631037306,0.0136170200428536,15,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,15.38,-2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6658539386969,170.887916399906,NA,NA,3,FALSE,NA,36234636,33514212,29321412,36302068,34433444,32204662,46001656,45148988,42201132,36432572,39186796,38956232,55799172,57631736,52028348
0,257.212186363321,0.120293,258.219493857,"C_15 H_30 O_3","C15H30O3","C_15 H_29 O_3",3,15,2,0.2,15,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2668215.7703542,840622.5,257.212189023127,0.143054022811319,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,FALSE,NA,NA,NA,NA,NA,NA,NA,2852827,2817312,NA,NA,NA,NA,NA,NA,NA
-1,257.239668120458,0.0218551,258.246938908,"C_14 H_32 O_2 C13_2","C16H32O2","C_14 H_31 O_2 C13_2",21,16,2,0.125,14,32,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2668215.7703542,838420.25,257.239668120458,0.0540016304464239,12,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.42,NA,75.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.887916399906,NA,NA,3,FALSE,NA,NA,3443908,NA,3487440,4156288,3068247,4530153,NA,3615266,3744932,4012883,2981554,4697972,4339157,3343770
0,258.1347042538,0.0331324,259.141972099,"C_12 H_21 O_5 N_1","C12H21NO5","C_12 H_20 O_5 N_1",12,12,1.75,0.417,12,21,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2668443.59246948,822574.666666667,258.134704929816,0.0824631328940797,9,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,FALSE,NA,3416338,4103790,4043847,NA,NA,NA,6881697,5402343,5710814,3794517,4044035,3483748,NA,NA,NA
