"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3604.csv","Sample2_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3610.csv","Sample3_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3616.csv","Sample4_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3606.csv","Sample5_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3612.csv","Sample6_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3618.csv","Sample7_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D1_1-1-21_1_3622.csv","Sample8_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D1_1-1-21_1_3628.csv","Sample9_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D1_1-1-21_1_3634.csv","Sample10_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D2_1-1-23_1_3640.csv","Sample11_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D2_1-1-23_1_3646.csv","Sample12_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D2_1-1-23_1_3652.csv"
0,533.088798224091,0.0201687,534.096085428,"C_21 H_27 O_12 S_1 P_1","C21H27O12PS","C_21 H_26 O_12 S_1 P_1",1,21,1.286,0.571,21,27,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2745727.22839894,401782.6,533.088798224091,0.134848287087438,5,0,0.08,9,0,0,0,1,1,0,0,0,0,0,0,0,0,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,TRUE,"C_32 H_22 O_4 S_2",NA,NA,3755592,NA,NA,3640544,NA,NA,3439525,3686854,4189868,NA
0,540.975153914434,0.1260557,541.982498666,"C_20 H_14 O_14 S_2","C20H14O14S2","C_20 H_13 O_14 S_2",1,20,0.7,0.7,20,14,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750241.22308201,391807,540.975153914434,0.0389668273673715,3,0,0.45,14,0,0,0,1,1,0,0,0,0,0,0,0,0,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,FALSE,NA,NA,NA,NA,NA,NA,NA,6410948,6569055,5828670,NA,NA,NA
-1,543.062631850123,0.2577628,544.070048523,"C_21 H_20 O_17","C21H20O17","C_21 H_19 O_17",2,21,0.952,0.81,21,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2752178.52394389,400044.777777778,543.062631850123,0.197209744621994,9,0,0.28,12,0,0,0,1,1,0,0,0,0,0,0,0,0,1.91,909.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,791.67799837757,NA,NA,NA,153,FALSE,NA,4487156,3819162,3367850,4167890,2887659,NA,7746552,8994230,8941921,NA,2808985,NA
-1,544.065858252278,0.4929137,545.073403358,"C_20 H_20 O_17 C13_1","C21H20O17","C_20 H_19 O_17 C13_1",2,21,0.952,0.81,20,20,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2752824.66165507,439766,544.065858252278,0.307907843777917,4,0,0.28,12,0,0,0,1,1,0,0,0,0,0,0,0,0,1.2,909.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,791.67799837757,NA,NA,NA,153,FALSE,NA,NA,2946861,NA,NA,NA,NA,3232904,3624539,3420650,NA,NA,NA
-1,547.068760668136,0.2908921,548.076196531,"C_19 H_20 O_17 N_2","C19H20N2O17","C_19 H_19 O_17 N_2",2,19,1.053,0.895,19,20,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2754764.19791737,371388.545454545,547.068760668136,0.187753347724701,11,0,0.06,11,0,0,0,1,1,0,0,0,0,0,0,0,0,3.48,662.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431.420034701673,NA,NA,NA,137,FALSE,NA,7088865,6678755,11187617,11283146,9445965,14546025,4724266,4231242,NA,12167426,12478185,11594266
-1,548.072024249466,0.4565552,549.079551366,"C_18 H_20 O_17 N_2 C13_1","C19H20N2O17","C_18 H_19 O_17 N_2 C13_1",2,19,1.053,0.895,18,20,17,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2755411.08697067,396226.428571429,548.072024249466,0.311439251985216,7,0,0.06,11,0,0,0,1,1,0,0,0,0,0,0,0,0,1.46,662.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431.420034701673,NA,NA,NA,137,FALSE,NA,NA,3565939,4601371,2917190,NA,4556006,NA,NA,NA,4774270,3684219,4123335
-4,550.998242499591,0.3916827,552.005735142,"C_18 H_16 O_18 S_1","C18H16O18S","C_18 H_15 O_18 S_1",5,18,0.889,1,18,16,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2756705.43533781,351658.666666667,550.998242499591,0.08847679943152,12,8,0.12,11,0,0,0,1,1,0,0,0,0,0,0,0,0,32.69,122.18,664.81,-283.31,56.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7599629081106,431.699559730685,44.177462646537,84.5710218453271,117,FALSE,NA,93629896,94284568,83933048,117222568,122070176,109491784,62371888,71410392,70301032,81439456,87206184,88124608
0,551.007689238901,0.2762969,552.01511819,"C_29 H_12 O_10 S_1","C29H12O10S","C_29 H_11 O_10 S_1",1,29,0.414,0.345,29,12,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2757352.89640717,388835.75,551.007689238901,0.173885396281366,4,0.72,0.78,24,1,0,1,0,0,0,0,0,0,0,0,0,0,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,FALSE,NA,3984841,3369753,NA,4590762,2999461,NA,NA,NA,NA,NA,NA,NA
-1,552.001592016881,0.4005885,553.009089977,"C_17 H_16 O_18 S_1 C13_1","C18H16O18S","C_17 H_15 O_18 S_1 C13_1",5,18,0.889,1,17,16,18,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2758000.54991732,359731.666666667,552.001592016881,0.0754671302619569,12,8,0.12,11,0,0,0,1,1,0,0,0,0,0,0,0,0,7.38,122.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7599629081106,431.699559730685,NA,NA,117,FALSE,NA,20360838,19803046,19838952,26783008,28288316,25179842,14678189,15934332,16119269,18033496,19671476,19541352
-1,552.994062443698,0.345066,554.001530042,"C_18 H_16 O_18 S34_1","C18H16O18S","C_18 H_15 O_18 S34_1",5,18,0.889,1,18,16,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2758000.54991732,391563.818181818,552.994062443698,0.155173051044822,11,8,0.12,11,0,0,0,1,1,0,0,0,0,0,0,0,0,1.57,NA,NA,NA,56.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.5710218453271,117,FALSE,NA,4861763,4033587,3651673,5221782,5940691,4683574,2849064,NA,3266141,4254670,4450884,4513296
