"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","mean_of_ratio_deviance","diff_filter","alternative_formula","Sample1_masslistsMGC2101811_LSt_MA_FTMS_PB_5_01_1-2-31_1_21540.csv","Sample2_masslistsMGC2101811_LSt_MA_FTMS_PB_5_02_1-2-31_1_21550.csv","Sample3_masslistsMGC2101811_LSt_MA_FTMS_PB_5_03_1-2-31_1_21560.csv","Sample4_masslistsMGC2101819_LSt_MA_FTMS_STD10_A1_01_1-2-11_1_21332.csv","Sample5_masslistsMGC2101819_LSt_MA_FTMS_STD10_A1_02_1-2-11_1_21342.csv","Sample6_masslistsMGC2101819_LSt_MA_FTMS_STD10_A1_03_1-2-11_1_21350.csv","Sample7_masslistsMGC2101819_LSt_MA_FTMS_STD10_A2_01_1-2-2_1_21252.csv","Sample8_masslistsMGC2101819_LSt_MA_FTMS_STD10_A2_02_1-2-2_1_21260.csv","Sample9_masslistsMGC2101819_LSt_MA_FTMS_STD10_A2_03_1-2-2_1_21270.csv","Sample10_masslistsMGC2101820_LSt_MA_FTMS_STD1_A1_01_1-2-15_1_21362.csv","Sample11_masslistsMGC2101820_LSt_MA_FTMS_STD1_A1_02_1-2-15_1_21372.csv","Sample12_masslistsMGC2101820_LSt_MA_FTMS_STD1_A1_03_1-2-15_1_21382.csv","Sample13_masslistsMGC2101820_LSt_MA_FTMS_STD1_A2_01_1-2-17_1_21390.csv","Sample14_masslistsMGC2101820_LSt_MA_FTMS_STD1_A2_02_1-2-17_1_21400.csv","Sample15_masslistsMGC2101820_LSt_MA_FTMS_STD1_A2_03_1-2-17_1_21410.csv","Sample16_masslistsMGC2101822_LSt_MA_FTMS_STD01_A1_01_1-2-4_1_21276.csv","Sample17_masslistsMGC2101822_LSt_MA_FTMS_STD01_A1_02_1-2-4_1_21286.csv","Sample18_masslistsMGC2101822_LSt_MA_FTMS_STD01_A1_03_1-2-4_1_21294.csv","Sample19_masslistsMGC2101822_LSt_MA_FTMS_STD01_A2_01_1-2-10_1_21330.csv","Sample20_masslistsMGC2101822_LSt_MA_FTMS_STD01_A2_02_1-2-10_1_21340.csv","Sample21_masslistsMGC2101822_LSt_MA_FTMS_STD01_A2_03_1-2-10_1_21348.csv"
0,390.195435285209,0.3757668,391.202858718,"C_18 H_33 O_6 N_1 S_1","C18H33NO6S","C_18 H_32 O_6 N_1 S_1",1,18,1.833,0.333,18,33,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3441326.00068883,516369.625,390.195558479253,0.164836508576197,8,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1167,Inf,FALSE,NA,7564494,8532336,6526347,NA,NA,NA,NA,NA,NA,4460310,NA,NA,NA,NA,NA,3946027,NA,NA,10002719,10010686,11147832
0,391.041102080305,0.0785566,392.048347714,"C_18 H_17 O_6 S_1 P_1","C18H17O6PS","C_18 H_16 O_6 S_1 P_1",1,18,0.944,0.333,18,17,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3441945.42883182,504929.333333333,391.041309742188,0.08639986252953,3,0.3,0.46,11,0,0,0,1,0,1,0,0,0,0,0,0,0,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,832,Inf,FALSE,NA,NA,NA,NA,NA,NA,NA,5218088,6142726,6584733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,391.049301258017,0.0287254,392.056588952,"C_18 H_16 O_8 S_1","C18H16O8S","C_18 H_15 O_8 S_1",2,18,0.889,0.444,18,16,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3441945.42883182,525351.222222222,391.049471971937,0.147927284154624,9,0.22,0.46,11,0,0,0,1,0,1,0,0,0,0,0,0,0,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437,Inf,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6557549,4664637,5788211,4962887,5314210,4770894,NA,NA,NA,8651144,8822960,8444562
0,391.119610874551,0.2658961,392.126991571,"C_13 H_29 O_9 S_1 P_1","C13H29O9PS","C_13 H_28 O_9 S_1 P_1",1,13,2.231,0.692,13,29,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3441945.42883182,554074,391.119727445759,0.0770474474302233,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,821,Inf,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4210874,3549850
0,391.119610874551,0.0731574,392.126858619,"C_24 H_24 O_1 S_2","C24H24OS2","C_24 H_23 O_1 S_2",2,24,1,0.042,24,24,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3441945.42883182,554074,391.119727445759,0.0770474474302233,2,0.48,0.49,13,0,0,0,1,0,1,0,0,0,0,0,0,0,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613,Inf,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4210874,3549850
0,391.215893486936,0.2289385,392.223259714,"C_19 H_36 O_6 S_1","C19H36O6S","C_19 H_35 O_6 S_1",1,19,1.895,0.316,19,36,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3441945.42883182,533534.5,391.216029433713,0.0529251394248384,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446,Inf,FALSE,NA,3931444,NA,3716620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,392.18434742829,0.0393625,393.191639337,"C_17 H_32 O_7 N_1 P_1","C17H32NO7P","C_17 H_31 O_7 N_1 P_1",2,17,1.882,0.412,17,32,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3442564.61154486,508683.5,392.184530580495,0.184499916312155,14,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1281,Inf,FALSE,NA,3489174,NA,3585672,NA,4348117,5139590,NA,3902316,4168209,5533667,5258684,4420247,3726023,4581137,NA,NA,NA,NA,7643670,10158411,9124620
0,392.211086702543,0.370237,393.218508718,"C_18 H_35 O_6 N_1 S_1","C18H35NO6S","C_18 H_34 O_6 N_1 S_1",1,18,1.944,0.333,18,35,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3442564.61154486,500127,392.211220040455,0.0575733604929119,5,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1168,Inf,FALSE,NA,3480985,NA,4822667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5845530,5845327,5679887
0,392.220764315238,0.0407626,393.228024718,"C_18 H_36 O_6 N_1 P_1","C18H36NO6P","C_18 H_35 O_6 N_1 P_1",3,18,2,0.333,18,36,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3442564.61154486,500845.333333333,392.220895000201,0.0324599938844842,3,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1285,Inf,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4669979,6660432,5364496
0,393.022674477395,0.4124534,394.030113428,"C_13 H_15 O_12 P_1","C13H15O12P","C_13 H_14 O_12 P_1",1,13,1.154,0.923,13,15,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3443183.54893277,462021,393.022824946234,0.113670206893154,2,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680,Inf,TRUE,"C_24 H_10 O_4 S_1",NA,4047470,4249332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,393.022674477395,0.0750374,394.029980476,"C_24 H_10 O_4 S_1","C24H10O4S","C_24 H_9 O_4 S_1",1,24,0.417,0.167,24,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3443183.54893277,462021,393.022824946234,0.113670206893154,2,0.79,0.81,20,1,0,1,0,0,0,0,0,0,0,0,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483,Inf,TRUE,"C_24 H_10 O_4 S_1",NA,4047470,4249332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,393.046331395645,0.0075675,394.053610809,"C_17 H_14 O_11","C17H14O11","C_17 H_13 O_11",2,17,0.824,0.647,17,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3443183.54893277,533516,393.046494188146,0.212130128805009,6,0,0.48,11,0,0,0,1,1,0,0,0,0,0,0,0,0,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,Inf,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3936318,3898909,NA,NA,NA,4562229,NA,NA,NA,5964419,5759426,4963179
-1,393.092980195336,0.3209031,394.100383095,"C_19 H_23 O_5 S_1 P_1","C19H23O5PS","C_19 H_22 O_5 S_1 P_1",2,19,1.211,0.263,19,23,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3443183.54893277,500796.666666667,393.093159829603,0.119062738002865,6,0.17,0.31,9,0,0,0,1,0,1,0,0,0,0,0,0,0,6.15,30.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.5626308140593,NA,NA,NA,NA,834,30.57,FALSE,NA,30240244,33387124,30963452,9336515,11303242,11812106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,393.176532615596,0.221072,394.18389619,"C_17 H_30 O_10","C17H30O10","C_17 H_29 O_10",3,17,1.765,0.588,17,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3443183.54893277,482259,393.176683657539,0.115952972251751,2,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,Inf,FALSE,NA,NA,4092540,4323080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,394.096359924797,0.2570819,395.10373793,"C_18 H_23 O_5 S_1 P_1 C13_1","C19H23O5PS","C_18 H_22 O_5 S_1 P_1 C13_1",2,19,1.211,0.263,18,23,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3443802.24105732,491398.666666667,394.096518626554,0.247936794697185,3,0.17,0.31,9,0,0,0,1,0,1,0,0,0,0,0,0,0,2,30.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.5626308140593,NA,NA,NA,NA,834,30.57,FALSE,NA,7048799,7459538,6199168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,394.200017183737,0.0108247,395.207289337,"C_17 H_34 O_7 N_1 P_1","C17H34NO7P","C_17 H_33 O_7 N_1 P_1",3,17,2,0.412,17,34,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3443802.24105732,522382.941176471,394.20020786343,0.112512319884127,17,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1.98,617.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299.669567243425,NA,NA,NA,NA,1286,617.78,FALSE,NA,5738090,5317340,5609358,4527944,NA,4677037,4522009,3755043,5053154,7360698,6561440,6517582,6503343,4782043,5504444,NA,NA,NA,13140757,13435491,12942317
