"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3604.csv","Sample2_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3610.csv","Sample3_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3616.csv","Sample4_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3606.csv","Sample5_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3612.csv","Sample6_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3618.csv","Sample7_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS1_1-1-22_1_3624.csv","Sample8_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS1_1-1-22_1_3630.csv","Sample9_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS1_1-1-22_1_3636.csv","Sample10_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS2_1-1-24_1_3642.csv","Sample11_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS2_1-1-24_1_3648.csv","Sample12_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS2_1-1-24_1_3654.csv","Sample13_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS3_1-1-25_1_3658.csv","Sample14_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS3_1-1-25_1_3664.csv","Sample15_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS3_1-1-25_1_3670.csv","Sample16_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D1_1-1-26_1_3660.csv","Sample17_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D1_1-1-26_1_3666.csv","Sample18_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D1_1-1-26_1_3672.csv","Sample19_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D2_1-1-27_1_3676.csv","Sample20_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D2_1-1-27_1_3682.csv","Sample21_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D2_1-1-27_1_3688.csv","Sample22_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D3_1-1-28_1_3678.csv","Sample23_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D3_1-1-28_1_3684.csv","Sample24_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D3_1-1-28_1_3690.csv","Sample25_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D4_1-1-29_1_3694.csv","Sample26_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D4_1-1-29_1_3700.csv","Sample27_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D4_1-1-29_1_3706.csv","Sample28_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D5_1-1-30_1_3696.csv","Sample29_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D5_1-1-30_1_3702.csv","Sample30_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D5_1-1-30_1_3708.csv"
0,687.08112226491,0.4039743,688.088676666,"C_34 H_24 O_14 S_1","C34H24O14S","C_34 H_23 O_14 S_1",1,34,0.706,0.412,34,24,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2823385.50918884,297058,687.08112226491,0.0326037391205735,3,0.42,0.58,23,1,0,1,0,0,0,0,0,0,0,0,0,0,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,FALSE,NA,NA,3735767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3985504,NA,3592081
0,688.999967542841,0.2743565,690.007054666,"C_38 H_10 O_14","C38H10O14","C_38 H_9 O_14",1,38,0.263,0.368,38,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2824201.74905876,294053.222222222,688.999967542841,0.173849505530941,9,0.83,0.87,34,1,0,1,0,0,0,0,0,0,0,0,0,0,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,FALSE,NA,NA,NA,NA,NA,4603954,3525014,NA,NA,3001813,NA,NA,3478026,3649435,3810020,2869814,NA,NA,NA,NA,3428586,3672996,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,692.92529918578,0.1842513,693.932703475,"C_21 H_11 O_25 P_1","C21H11O25P","C_21 H_10 O_25 P_1",1,21,0.524,1.19,21,11,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2826211.09376604,368846.333333333,692.92529918578,0.219614465986842,6,1.8,0.47,17,0,0,0,1,1,0,0,0,0,0,0,0,0,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,FALSE,NA,NA,NA,NA,NA,3305985,NA,NA,NA,NA,NA,2995401,NA,NA,NA,NA,NA,NA,3398154,2831319,3072736,3767594,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,695.012501296253,0.4426627,696.019469626,"C_25 H_16 O_22 N_2","C25H16N2O22","C_25 H_15 O_22 N_2",1,25,0.64,0.88,25,16,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2827906.65793025,332633.6,695.012501296253,0.210832802595661,10,0,0.5,19,0,0,0,1,1,0,0,0,0,0,0,0,0,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,FALSE,NA,NA,NA,NA,4196516,5083894,NA,NA,NA,NA,NA,2995569,3236938,NA,NA,NA,4120182,3123135,4622990,3691541,3498991,3563000,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3,695.016935141587,0.2179694,696.024363285,"C_31 H_20 O_15 S_2","C31H20O15S2","C_31 H_19 O_15 S_2",4,31,0.645,0.484,31,20,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2827906.65793025,281605.066666667,695.016935141587,0.041898127933539,30,0.36,0.58,22,1,0,1,0,0,0,0,0,0,0,0,0,0,14.74,-140.4,125.46,NA,-166.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.1022090627721,446.745900640512,NA,188.200727937361,309,FALSE,NA,44042680,49280316,42526652,58779812,63763192,56552696,31091354,32763918,31813472,41876208,44037488,41346124,25722990,31487554,29556280,55113336,54454208,59632272,49673236,50783216,54001144,34441628,34533704,34504488,40305580,38336612,36765948,28042192,28044774,27124918
-1,696.020280206343,0.2316723,697.02771812,"C_30 H_20 O_15 S_2 C13_1","C31H20O15S2","C_30 H_19 O_15 S_2 C13_1",4,31,0.645,0.484,30,20,15,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2828471.88534858,292528.8,696.020280206343,0.0681669431454195,30,0.36,0.58,22,1,0,1,0,0,0,0,0,0,0,0,0,0,4.39,-140.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.1022090627721,446.745900640512,NA,NA,309,FALSE,NA,14141972,14710218,11659320,17623346,17953644,16936332,10201858,10760376,9252771,12434296,13628865,13083820,8159376,8763092,9649889,15087304,17688616,16640717,15037490,14935155,16399963,12061174,10580380,10174394,10503150,10778832,10240338,8496193,6860431,8078691
-1,697.012781141449,0.1441391,698.020158185,"C_31 H_20 O_15 S_1 S34_1","C31H20O15S2","C_31 H_19 O_15 S_1 S34_1",4,31,0.645,0.484,31,20,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2829037.13329833,284230.8,697.012781141449,0.485879118751061,5,0.36,0.58,22,1,0,1,0,0,0,0,0,0,0,0,0,0,1.21,NA,NA,NA,-166.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.200727937361,309,FALSE,NA,2968174,NA,NA,NA,NA,4402720,3308393,NA,NA,NA,NA,2864398,NA,NA,NA,3602200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,697.023521972549,0.3933222,698.031072955,"C_29 H_20 O_15 S_2 C13_2","C31H20O15S2","C_29 H_19 O_15 S_2 C13_2",4,31,0.645,0.484,29,20,15,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2829037.13329833,257453,697.023521972549,0.28845875285447,3,0.36,0.58,22,1,0,1,0,0,0,0,0,0,0,0,0,0,1.25,NA,125.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446.745900640512,NA,NA,309,FALSE,NA,NA,NA,NA,NA,3068897,NA,NA,NA,NA,NA,4302354,NA,NA,NA,NA,NA,NA,NA,NA,NA,3212989,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,697.099921495375,0.0230194,698.107181857,"C_50 H_19 O_3 P_1","C50H19O3P","C_50 H_18 O_3 P_1",1,50,0.38,0.06,50,19,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2829037.13329833,359834.363636364,697.099921495375,0.190304472655162,11,0.83,0.83,42,1,0,1,0,0,0,0,0,0,0,0,0,0,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371,TRUE,"C_40 H_18 O_9 N_4",NA,3044964,3229887,3869131,3757034,5598765,NA,2953584,NA,NA,NA,NA,NA,NA,NA,3168032,3692696,3377936,NA,NA,3608261,NA,NA,NA,NA,NA,NA,NA,NA,3335710
-2,697.104386379247,0.358583,698.111913142,"C_32 H_26 O_18","C32H26O18","C_32 H_25 O_18",3,32,0.812,0.562,32,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2829037.13329833,281396.133333333,697.104386379247,0.0286854250755893,30,0.14,0.48,20,0,0,0,1,1,0,0,0,0,0,0,0,0,13.98,76.87,301.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.460558710001,315.184000478058,NA,NA,316,TRUE,"C_45 H_18 O_7 N_2",50924148,48035428,46786752,56224204,59765740,62058028,34106228,34828656,27881450,28736522,34010648,30369046,37552308,43579252,43319192,52819744,49277080,55110416,39842896,43181316,41549508,23169620,20935162,20742234,22250548,20969798,23232942,43181244,45674308,46523936
