"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_2.6","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsNelha35_01_1-1-35_1_3586.csv","Sample2_masslistsNelha36_03_1-1-36_1_3580.csv","Sample3_masslistsNelha53_02_1-1-53_1_3620.csv","Sample4_masslistsNelha54_01_1-1-54_1_3598.csv","Sample5_masslistsNelha54_03_1-1-54_1_3608.csv"
0,328.119096682018,0.1550013,329.126322099,"C_18 H_19 O_5 N_1","C18H19NO5","C_18 H_18 O_5 N_1",5,18,1.056,0.278,18,19,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133381.38378578,645063.4,328.119098740689,0.113711375744802,5,0.33,0.45,10,0,0,0,1,0,1,0,0,0,0,0,0,0,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,FALSE,NA,2826742,2604193,4237140,3389336,3700301
0,328.130216582226,0.1898113,329.137555488,"C_17 H_19 O_4 N_3","C17H19N3O4","C_17 H_18 O_4 N_3",3,17,1.118,0.235,17,19,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133381.38378578,703692,328.130218223919,0.271733961901412,3,0.3,0.42,10,0,0,0,1,0,1,0,0,0,0,0,0,0,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,FALSE,NA,2230777,NA,NA,2930587,2743888
0,328.140167659856,0.0220145,329.147451337,"C_15 H_23 O_7 N_1","C15H23NO7","C_15 H_22 O_7 N_1",4,15,1.533,0.467,15,23,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133381.38378578,652259.6,328.14016954939,0.105587227426014,5,0,0.05,5,0,0,0,0,0,0,1,0,1,1,0,0,0,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,FALSE,NA,3109372,4961448,3839833,4237214,4515411
-1,328.148268338353,0.0376661,329.155557168,"C_15 H_24 O_7 C13_1","C16H24O7","C_15 H_23 O_7 C13_1",20,16,1.5,0.438,15,24,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133381.38378578,662174.8,328.14827016658,0.0778389694461439,5,0,0.12,5,0,0,0,0,0,0,1,0,1,0,0,0,0,2.65,-131.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.606205723311,NA,NA,NA,NA,44,FALSE,NA,5364222,7410858,4761435,4741024,5998165
0,328.155420490497,0.0320753,329.16270748,"C_19 H_23 O_4 N_1","C19H23NO4","C_19 H_22 O_4 N_1",7,19,1.211,0.211,19,23,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133381.38378578,756083.5,328.155423811151,0.00208531141240893,2,0.29,0.38,9,0,0,0,1,0,1,0,0,0,0,0,0,0,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,FALSE,NA,2331136,NA,2383708,NA,NA
0,329.066626878069,0.1485213,330.073952333,"C_17 H_14 O_7","C17H14O7","C_17 H_13 O_7",12,17,0.824,0.412,17,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133862.93606648,642765,329.066628874237,0.162295707343813,5,0.4,0.56,11,1,0,1,0,0,0,0,0,0,0,0,0,0,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269,FALSE,NA,2640617,3331502,2768953,3938444,2427733
0,329.070044314274,0.0108672,330.077324333,"C_14 H_18 O_7 S_1","C14H18O7S","C_14 H_17 O_7 S_1",5,14,1.286,0.5,14,18,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133862.93606648,683407,329.07004615158,0.173127039200785,5,0,0.16,6,0,0,0,1,0,1,0,0,0,0,0,0,0,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,FALSE,NA,3255018,3519919,2832442,2853005,4937558
0,329.077954990114,0.1384491,330.085185722,"C_16 H_14 O_6 N_2","C16H14N2O6","C_16 H_13 O_6 N_2",3,16,0.875,0.375,16,14,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133862.93606648,630067.5,329.077957134651,0.397598785262351,4,0.38,0.55,11,1,0,1,0,0,0,0,0,0,0,0,0,0,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,FALSE,NA,NA,2134449,3446843,2496655,2781016
-1,329.087822995511,0.0540935,330.095081571,"C_14 H_18 O_9","C14H18O9","C_14 H_17 O_9",26,14,1.286,0.643,14,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133862.93606648,601714.2,329.087824917356,0.0116905378737773,5,0,0.16,6,0,0,0,1,1,0,0,0,0,0,0,0,0,5.99,477.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.63055305455,NA,NA,NA,NA,139,FALSE,NA,9599726,15898036,12130366,13236370,13064027
-1,329.103066346928,0.0153403,330.110337714,"C_18 H_18 O_6","C18H18O6","C_18 H_17 O_6",14,18,1,0.333,18,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133862.93606648,618281.6,329.103068320253,0.0470808279319133,5,0.33,0.47,10,0,0,0,1,0,1,0,0,0,0,0,0,0,4.76,283.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276.042597707267,NA,NA,NA,NA,210,FALSE,NA,8977138,10343864,10729537,9730198,11032415
0,329.106355633323,0.235219,330.113709714,"C_15 H_22 O_6 S_1","C15H22O6S","C_15 H_21 O_6 S_1",3,15,1.467,0.4,15,22,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133862.93606648,751474.6,329.106357571826,0.185350274323652,5,0,0.09,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,FALSE,NA,2702067,3118521,2857026,2228374,2869088
0,329.114281211272,0.0407729,330.121571103,"C_17 H_18 O_5 N_2","C17H18N2O5","C_17 H_17 O_5 N_2",7,17,1.059,0.294,17,18,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133862.93606648,577959,329.11428321095,0.0527908737425879,5,0.3,0.44,10,0,0,0,1,0,1,0,0,0,0,0,0,0,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,FALSE,NA,3844853,6690236,6182980,6469785,5273443
-1,329.124193882233,0.0101838,330.131466952,"C_15 H_22 O_8","C15H22O8","C_15 H_21 O_8",20,15,1.467,0.533,15,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133862.93606648,593832.4,329.124195800082,0.00978529748606216,5,0,0.09,5,0,0,0,1,1,0,0,0,0,0,0,0,0,12.76,-130.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.915802463121,NA,NA,NA,NA,84,FALSE,NA,23304952,31479230,25106502,27220122,29022054
