"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_2.6","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsNelha43_02_1-1-43_1_3816.csv","Sample2_masslistsNelha44_03_1-1-44_1_3800.csv","Sample3_masslistsNelha46_01_1-1-46_1_3740.csv","Sample4_masslistsNelha50_01_1-1-50_1_3668.csv","Sample5_masslistsNelha51_02_1-1-51_1_3656.csv"
0,101.024417301035,0.0012153,102.031693857,"C_4 H_6 O_3","C4H6O3","C_4 H_5 O_3",2,4,1.5,0.75,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2106093.5484452,2178166,101.024416478303,0.10196275409825,3,0,0.2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,2127824,2165379,NA,NA,2854164
0,111.00876646449,0.0085791,112.016043857,"C_5 H_4 O_3","C5H4O3","C_5 H_3 O_3",2,5,0.8,0.6,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110471.44697109,1738188.5,111.008766848773,0.0626748306013815,4,0.5,0.71,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,2541534,2959293,2123036,2743575,NA
0,111.045150093789,0.0242119,112.052429238,"C_6 H_8 O_2","C6H8O2","C_6 H_7 O_2",1,6,1.333,0.333,6,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110471.44697109,2105936,111.045151325319,0.0915199430277533,3,0.25,0.4,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,FALSE,NA,2402396,NA,2285658,2211221,NA
0,113.024408935866,0.074453,114.031693857,"C_5 H_6 O_3","C5H6O3","C_5 H_5 O_3",1,5,1.2,0.6,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111348.11810251,1871209.8,113.024409123543,0.0435750411424284,5,0,0.43,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,3560440,2242843,3977077,2792628,2331724
0,115.040058590074,0.0761327,116.047343857,"C_5 H_8 O_3","C5H8O3","C_5 H_7 O_3",2,5,1.6,0.6,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112225.15339535,1730621,115.040058181109,0.0436503359729252,2,0,0.14,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,2542355,NA,NA,NA,2946531
0,119.991290962363,0.4430631,120.998621004,"C_6 H_3 N_1 S_1","C6H3NS","C_6 H_2 N_1 S_1",1,6,0.5,0,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2113980.31707042,1979821,119.991290418951,0.332483959116088,2,1,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,2152612,2374992,NA,NA,NA
-1,121.029496700728,0.0500341,122.036779238,"C_7 H_6 O_2","C7H6O2","C_7 H_5 O_2",2,7,0.857,0.286,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2114858.44575538,1602858.2,121.029496780259,0.0145651042749836,5,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,10.46,158.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275.314790730425,NA,NA,NA,NA,11,FALSE,NA,33459830,25081890,21003754,16285626,14814653
0,121.065880780659,0.0606767,122.073164619,"C_8 H_10 O_1","C8H10O","C_8 H_9 O_1",2,8,1.25,0.125,8,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2114858.44575538,1551461.66666667,121.06588093132,0.0170390736589408,3,0.43,0.47,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,FALSE,NA,2393332,NA,NA,2198201,2118972
-1,122.032849915265,0.0627925,123.040134073,"C_6 H_6 O_2 C13_1","C7H6O2","C_6 H_5 O_2 C13_1",2,7,0.857,0.286,6,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2115297.64687597,1793711,122.032849384937,0.0558043674717099,2,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.25,158.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275.314790730425,NA,NA,NA,NA,11,FALSE,NA,2596682,2710777,NA,NA,NA
0,123.045160471939,0.0617964,124.052429238,"C_7 H_8 O_2","C7H8O2","C_7 H_7 O_2",7,7,1.143,0.286,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2115736.93920721,2112369.5,123.045161965971,0.0346204016428161,2,0.4,0.5,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,NA,2120225,NA,2606229,NA,NA
