"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.7","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","mean_of_ratio_deviance","diff_filter","alternative_formula","Sample1_masslistsMGC2101810_LSt_MA_FTMS_PB_4_01_1-2-13_1_21358.csv","Sample2_masslistsMGC2101810_LSt_MA_FTMS_PB_4_02_1-2-13_1_21368.csv","Sample3_masslistsMGC2101810_LSt_MA_FTMS_PB_4_03_1-2-13_1_21378.csv","Sample4_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_01_1-2-6_1_21280.csv","Sample5_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_01_1-2-8_1_21306.csv","Sample6_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_02_1-2-6_1_21290.csv","Sample7_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_02_1-2-8_1_21314.csv","Sample8_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_03_1-2-6_1_21298.csv","Sample9_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_03_1-2-8_1_21324.csv"
0,125.060798981109,0.0303408,126.068079238,"C_7 H_10 O_2","C7H10O2","C_7 H_9 O_2",7,7,1.429,0.286,7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3372578.31177909,1495993.5,125.060802121618,0.0634617104718018,4,0.2,0.33,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Inf,FALSE,NA,4100985,NA,NA,4019941,NA,4301926,NA,4325613,NA
-1,125.097186601164,0.0125769,126.104464619,"C_8 H_14 O_1","C8H14O","C_8 H_13 O_1",7,8,1.75,0.125,8,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3372578.31177909,1521588.22222222,125.097188213882,0.0152972766326949,9,0.14,0.2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,24.93,-56.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.972242121619,NA,NA,NA,NA,9,56.12,FALSE,NA,117195640,123257400,129991440,92334048,35488844,92217448,36013100,91817192,38315648
-1,126.100539554688,0.0272839,127.107819454,"C_7 H_14 O_1 C13_1","C8H14O","C_7 H_13 O_1 C13_1",7,8,1.75,0.125,7,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3373127.43404934,1590582.85714286,126.100541389593,0.0113221569035875,7,0.14,0.2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2.44,-56.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.972242121619,NA,NA,NA,NA,9,56.12,FALSE,NA,10217299,10852886,11303660,7258050,NA,7014464,4179979,6819017,NA
0,127.076456576873,0.0294339,128.083729238,"C_7 H_12 O_2","C7H12O2","C_7 H_11 O_2",6,7,1.714,0.286,7,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3373676.64572753,1587996.57142857,127.076458699526,0.0400815725240174,7,0,0.17,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,Inf,FALSE,NA,3892018,3586038,4411596,6581156,NA,5478432,NA,5138602,3640894
0,127.112841442532,0.0254058,128.120114619,"C_8 H_16 O_1","C8H16O","C_8 H_15 O_1",2,8,2,0.125,8,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3373676.64572753,1644537.5,127.112843642281,0.0315502753637083,6,0,0.07,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Inf,FALSE,NA,4922161,4382197,4058827,4054947,NA,3755551,NA,4420777,NA
0,128.108085128191,0.015978,129.115363623,"C_7 H_15 O_1 N_1","C7H15NO","C_7 H_14 O_1 N_1",4,7,2.143,0.143,7,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3374225.94682821,1610667.77777778,128.108086854684,0.0324221435048476,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,Inf,FALSE,NA,10063634,9414104,9617069,8921991,3401198,10931201,3891153,9344140,4170272
0,129.055723163446,0.0441171,130.062993857,"C_6 H_10 O_3","C6H10O3","C_6 H_9 O_3",15,6,1.667,0.5,6,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3374775.33736594,1523030,129.055726487644,0.0140922346616522,4,0,0.11,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Inf,FALSE,NA,3502329,NA,NA,4272496,NA,5063144,NA,4321909,NA
0,129.092101653608,0.0088625,130.099379238,"C_7 H_14 O_2","C7H14O2","C_7 H_13 O_2",14,7,2,0.286,7,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3374775.33736594,1676897.83333333,129.092103983336,0.0364968669916107,6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Inf,FALSE,NA,4590328,4349375,5832340,5916527,NA,4503016,NA,5286004,NA
0,135.04515589228,0.0226824,136.052429238,"C_8 H_8 O_2","C8H8O2","C_8 H_7 O_2",12,8,1,0.25,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3378073.55958613,1543445.2,135.045158719877,0.0239739003051377,5,0.5,0.57,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Inf,FALSE,NA,NA,3983739,3635792,4978479,NA,5492643,NA,3621938,NA
0,137.024412727576,0.0340357,138.031693857,"C_7 H_6 O_3","C7H6O3","C_7 H_5 O_3",13,7,0.857,0.429,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3379173.68314971,1460286.5,137.024415486962,0.062678277134385,6,0.5,0.64,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Inf,FALSE,NA,4150978,3662218,4157023,7831358,NA,7776178,NA,7930945,NA
0,137.097187474068,0.0051628,138.104464619,"C_9 H_14 O_1","C9H14O","C_9 H_13 O_1",3,9,1.556,0.111,9,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3379173.68314971,1523925.66666667,137.09718802027,0.0339886201051799,3,0.25,0.29,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Inf,FALSE,NA,4895427,4705675,5277280,NA,NA,NA,NA,NA,NA
0,139.040069122812,0.0121173,140.047343857,"C_7 H_8 O_3","C7H8O3","C_7 H_7 O_3",8,7,1.143,0.429,7,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3380274.16498609,1547905.66666667,139.040073500375,0.043384589371429,3,0.25,0.45,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Inf,FALSE,NA,NA,NA,NA,3764066,NA,3398106,NA,4524135,NA
0,139.076455833026,0.0216085,140.083729238,"C_8 H_12 O_2","C8H12O2","C_8 H_11 O_2",7,8,1.5,0.25,8,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3380274.16498609,1407988.4,139.076458970936,0.0271519640538578,5,0.17,0.29,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Inf,FALSE,NA,4474091,NA,5180039,5396323,NA,6924251,NA,6036584,NA
0,139.11283893215,0.0053169,140.120114619,"C_9 H_16 O_1","C9H16O","C_9 H_15 O_1",7,9,1.778,0.111,9,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3380274.16498609,1463760,139.112840754687,0.0146563046944695,9,0.12,0.18,2,0,0,0,0,0,0,1,0,1,0,0,0,0,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,Inf,FALSE,NA,15102700,15954355,16376456,13178724,5118922,10952667,3777455,11965544,4888059
0,141.092101821405,0.0069318,142.099379238,"C_8 H_14 O_2","C8H14O2","C_8 H_13 O_2",6,8,1.75,0.25,8,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3381375.00521194,1356160.33333333,141.092104390898,0.0259114027571175,6,0,0.14,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,Inf,FALSE,NA,7251757,5847538,6088392,7408544,NA,6588444,NA,7041190,NA
0,141.128496829223,0.060801,142.135764619,"C_9 H_18 O_1","C9H18O","C_9 H_17 O_1",2,9,2,0.111,9,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3381375.00521194,1466697.5,141.128497050183,0.00660133447833671,2,0,0.06,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Inf,FALSE,NA,3528495,3580403,NA,NA,NA,NA,NA,NA,NA
0,142.087355566997,0.0262554,143.094628242,"C_7 H_13 O_2 N_1","C7H13NO2","C_7 H_12 O_2 N_1",8,7,1.857,0.286,7,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3381925.55975739,1436578.85714286,142.087357677766,0.0534426903897638,7,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,Inf,FALSE,NA,4835160,5082652,4542193,4419527,3808303,3732037,NA,3768526,NA
0,142.123739391117,0.0153705,143.131013623,"C_8 H_17 O_1 N_1","C8H17NO","C_8 H_16 O_1 N_1",4,8,2.125,0.125,8,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3381925.55975739,1387409,142.123741134864,0.0257285474436184,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,Inf,FALSE,NA,30565210,32711196,33014514,18204616,7765041,16412743,7408657,16692431,6993508
0,143.071369578645,0.0149432,144.078643857,"C_7 H_12 O_3","C7H12O3","C_7 H_11 O_3",15,7,1.714,0.429,7,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3382476.20394398,1438992.4,143.071372483992,0.0362136859292608,5,0,0.09,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Inf,FALSE,NA,3888009,5027403,NA,6171636,NA,4707446,NA,4675836,NA
0,143.107757263759,0.0309267,144.115029238,"C_8 H_16 O_2","C8H16O2","C_8 H_15 O_2",14,8,2,0.25,8,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3382476.20394398,1463494,143.107758969283,0.0391083399896484,9,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Inf,FALSE,NA,15991691,14856781,15029027,7784438,3926111,7268472,4085822,7527678,3478163
0,145.050632454035,0.0028071,146.057908476,"C_6 H_10 O_4","C6H10O4","C_6 H_9 O_4",16,6,1.667,0.667,6,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3383577.76129896,1382330.66666667,145.050637107814,0.0444751973106995,3,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Inf,FALSE,NA,NA,NA,NA,5108835,NA,4355308,NA,4274541,NA
0,145.065881871534,0.0432386,146.073164619,"C_10 H_10 O_1","C10H10O","C_10 H_9 O_1",1,10,1,0.1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3383577.76129896,1512950.66666667,145.065886503184,0.00435081516275057,3,0.56,0.58,6,1,0,1,0,0,0,0,0,0,0,0,0,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,Inf,FALSE,NA,NA,NA,NA,5466212,NA,5256429,NA,5471598,NA
0,145.087015332474,0.0143264,146.094293857,"C_7 H_14 O_3","C7H14O3","C_7 H_13 O_3",4,7,2,0.429,7,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3383577.76129896,1311689.83333333,145.087017884004,0.0311489265373607,6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,Inf,FALSE,NA,5898245,6595267,6449049,6362213,NA,5111023,NA,6264176,NA
0,146.061137617067,0.0028966,147.068413623,"C_9 H_9 O_1 N_1","C9H9NO","C_9 H_8 O_1 N_1",2,9,1,0.111,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3384128.67449655,1339496.66666667,146.061142300675,0.0124151904564122,3,0.57,0.6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,4.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,Inf,FALSE,NA,NA,NA,NA,16582822,NA,15499572,NA,15033778,NA
-1,146.082265128128,0.008845,147.089542861,"C_6 H_13 O_3 N_1","C6H13NO3","C_6 H_12 O_3 N_1",2,6,2.167,0.5,6,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3384128.67449655,1296352.33333333,146.082265128128,0.0105236160798699,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.82,-2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.4346269577227,NA,NA,NA,NA,346,2.92,FALSE,NA,NA,NA,NA,NA,99779864,NA,100910312,NA,102025040
-1,147.085621595855,0.0022351,148.092897696,"C_5 H_13 O_3 N_1 C13_1","C6H13NO3","C_5 H_12 O_3 N_1 C13_1",2,6,2.167,0.5,5,13,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3384679.67739367,1431902.66666667,147.085621595855,0.0325868053392545,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,-2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.4346269577227,NA,NA,NA,NA,346,2.92,FALSE,NA,NA,NA,NA,NA,6688096,NA,6126901,NA,7432091
0,149.024420617372,0.0212755,150.031693857,"C_8 H_6 O_3","C8H6O3","C_8 H_5 O_3",10,8,0.75,0.375,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3385781.95234494,1315280.33333333,149.024425406847,0.0231214392942705,3,0.6,0.69,6,1,0,1,0,0,0,0,0,0,0,0,0,0,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,Inf,FALSE,NA,NA,NA,NA,7768471,NA,6861367,NA,7341737,NA
0,149.060800237807,0.0171189,150.068079238,"C_9 H_10 O_2","C9H10O2","C_9 H_9 O_2",12,9,1.111,0.222,9,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3385781.95234494,1276586.14285714,149.060802371555,0.0489458570337269,7,0.43,0.5,5,0,0,0,1,0,1,0,0,0,0,0,0,0,3.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Inf,FALSE,NA,16221527,16040970,16073954,9253274,NA,8016443,NA,7814829,3739212
0,151.040071612563,0.0275375,152.047343857,"C_8 H_8 O_3","C8H8O3","C_8 H_7 O_3",13,8,1,0.375,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3386884.58626964,1335687.66666667,151.040074953999,0.0289793455948317,6,0.4,0.54,5,1,0,1,0,0,0,0,0,0,0,0,0,0,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Inf,FALSE,NA,4597299,3921118,3686840,13601379,NA,13464338,NA,14182266,NA
