"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.3","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B1_1-1-2_1_3454.csv","Sample2_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B1_1-1-2_1_3462.csv","Sample3_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B1_1-1-2_1_3470.csv","Sample4_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B2_1-1-3_1_3456.csv","Sample5_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B2_1-1-3_1_3464.csv","Sample6_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B2_1-1-3_1_3592.csv","Sample7_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-1_1-1-4_1_3458.csv","Sample8_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-1_1-1-4_1_3466.csv","Sample9_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-1_1-1-4_1_3474.csv","Sample10_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-2_1-1-5_1_3478.csv","Sample11_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-2_1-1-5_1_3486.csv","Sample12_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-2_1-1-5_1_3494.csv"
0,555.365065652562,0.0411164,556.37236496,"C_29 H_52 O_8 N_2","C29H52N2O8","C_29 H_51 O_8 N_2",5,29,1.793,0.276,29,52,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2610620.44195922,408004,555.365038120093,0.0125364926318,2,0,0,5,0,0,0,0,0,0,1,0,1,1,0,0,0,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,FALSE,NA,NA,NA,NA,NA,3299872,2775564,NA,NA,NA,NA,NA,NA
-1,555.384428371009,0.0011197,556.39170418,"C_28 H_53 O_7 N_3 C13_1","C29H53N3O7","C_28 H_52 O_7 N_3 C13_1",16,29,1.828,0.241,28,53,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2610620.44195922,345019.333333333,555.384441846718,0.205390309833076,3,0,0,5,0,0,0,0,0,0,1,0,1,1,0,0,0,1.38,160.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.932918901138,NA,NA,NA,NA,280,FALSE,NA,NA,NA,NA,NA,NA,NA,2704103,3308537,4799879,NA,NA,NA
0,556.360394682898,0.1025355,557.367613964,"C_28 H_51 O_8 N_3","C28H51N3O8","C_28 H_50 O_8 N_3",5,28,1.821,0.286,28,51,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2611164.28305181,353883,556.360397379847,0.258527022716864,6,0,0,5,0,0,0,0,0,0,1,0,1,1,0,0,0,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,FALSE,NA,NA,NA,NA,3933764,3072677,2998937,4557703,3683455,4513257,NA,NA,NA
0,557.336496385212,0.008287,558.34376819,"C_26 H_54 O_10 S_1","C26H54O10S","C_26 H_53 O_10 S_1",1,26,2.077,0.385,26,54,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2611708.52908063,441464.666666667,557.336473162417,0.0409491785245188,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,FALSE,NA,NA,2733786,NA,NA,2851623,NA,NA,NA,NA,3136555,NA,NA
0,566.381056420319,0.0290683,567.388349345,"C_30 H_53 O_7 N_3","C30H53N3O7","C_30 H_52 O_7 N_3",7,30,1.767,0.233,30,53,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2616624.60944938,375144,566.381077750228,0.346557870910096,2,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0,0,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,FALSE,NA,NA,NA,NA,NA,NA,NA,3334630,3201485,NA,NA,NA,NA
0,567.364857766728,0.4060051,568.37236496,"C_30 H_52 O_8 N_2","C30H52N2O8","C_30 H_51 O_8 N_2",1,30,1.733,0.267,30,52,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2617172.78092531,357663.5,567.364877088124,0.0217587324469773,2,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0,0,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3025489,3412485,NA,NA,NA
0,568.360384125706,0.0818329,569.367613964,"C_29 H_51 O_8 N_3","C29H51N3O8","C_29 H_50 O_8 N_3",5,29,1.759,0.276,29,51,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2617721.33081508,377073.166666667,568.360387419389,0.249328477307456,6,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0,0,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,FALSE,NA,NA,NA,NA,4209403,3195076,3490119,2886437,4348630,2630239,NA,NA,NA
0,568.396755759695,0.0576849,569.403999345,"C_30 H_55 O_7 N_3","C30H55N3O7","C_30 H_54 O_7 N_3",16,30,1.833,0.233,30,55,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2617721.33081508,346010.8,568.396768541117,0.244311551677957,5,0,0,5,0,0,0,0,0,0,1,0,1,1,0,0,0,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,FALSE,NA,NA,NA,NA,3320574,NA,NA,3003178,2960091,4145763,NA,2679319,NA
0,569.380896963277,0.277767,570.38801496,"C_30 H_54 O_8 N_2","C30H54N2O8","C_30 H_53 O_8 N_2",5,30,1.8,0.267,30,54,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2618270.25598079,422485.5,569.380873143274,0.209732333703597,2,0,0,5,0,0,0,0,0,0,1,0,1,1,0,0,0,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,FALSE,NA,NA,NA,NA,NA,2646342,NA,2722760,NA,NA,NA,NA,NA
0,570.376038718306,0.0895826,571.383263964,"C_29 H_53 O_8 N_3","C29H53N3O8","C_29 H_52 O_8 N_3",5,29,1.828,0.276,29,53,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2618819.55328189,423049.5,570.376014190339,0.192274279903995,2,0,0,5,0,0,0,0,0,0,1,0,1,1,0,0,0,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,FALSE,NA,NA,NA,NA,NA,3015108,NA,NA,NA,3617557,NA,NA,NA
